Idx	Frequency	Coverage (%)	Phrase
1	111	8.89	地
2	46	11.11	的
3	35	12.72	得
4	32	14.22	坐
5	29	15.22	们
6	28	16.39	再
7	25	17.22	她
8	24	18.17	因
9	24	19.06	里
10	23	19.83	师
11	21	20.56	有
12	21	21.33	一
13	20	22.17	是
14	20	23.11	在
15	20	24.11	那
16	19	24.94	以
17	17	25.67	做
18	15	26.33	啊
19	15	26.72	边
20	15	27.22	应
21	14	27.78	跟
22	14	28.50	收
23	13	28.94	现
24	13	29.56	么
25	13	30.00	哪
26	12	30.61	请
27	12	31.11	候
28	12	31.72	菜
29	11	32.06	他
30	10	32.50	兴
31	10	33.00	课
32	10	33.39	女
33	10	33.83	吗
34	9	34.17	相
35	9	34.61	生
36	9	35.06	著
37	9	35.50	和
38	9	35.78	字
39	9	36.11	回
40	9	36.56	只
41	9	37.06	居
42	8	37.44	吧
43	8	37.89	很
44	8	38.22	爬
45	8	38.56	旅
46	8	38.89	玩
47	8	39.28	噪
48	7	39.56	舞
49	7	39.83	功
50	7	40.06	站
51	7	40.33	明
52	7	40.67	时
53	7	40.94	什
54	7	41.22	帮
55	7	41.44	不
56	6	41.61	加
57	6	41.94	事
58	6	42.17	礼
59	6	42.39	起
60	6	42.61	到
61	6	42.94	城
62	6	43.28	昨
63	6	43.61	幸
64	6	43.94	赶
65	6	44.22	者
66	5	44.33	知道
67	5	44.50	然
68	5	44.78	空
69	5	45.00	进
70	5	45.17	个
71	5	45.28	脏
72	5	45.50	景
73	5	45.78	己
74	5	46.06	长
75	5	46.33	亲
76	5	46.61	友
77	5	46.83	还
78	5	47.00	每
79	5	47.17	几
80	5	47.39	你
81	5	47.61	烤
82	5	47.72	方
83	5	47.94	饼
84	5	48.17	这
85	5	48.39	响
86	5	48.56	像
87	5	48.67	护
88	5	48.94	直
89	4	49.17	身
90	4	49.39	花
91	4	49.61	离
92	4	49.83	都
93	4	50.06	问
94	4	50.17	累
95	4	50.39	知
96	4	50.61	教
97	4	50.78	颜
98	4	51.00	放
99	4	51.17	门
100	4	51.39	漂
101	4	51.61	期
102	4	51.83	道
103	4	52.06	班
104	4	52.28	值
105	4	52.50	注
106	4	52.72	就
107	4	52.89	变
108	4	53.11	久
109	4	53.28	纸
110	4	53.39	了
111	4	53.61	觉
112	4	53.78	重
113	4	53.94	真
114	4	54.11	分
115	4	54.33	恢
116	4	54.50	既
117	4	54.72	心
118	4	54.89	需
119	4	55.06	络
120	4	55.22	遍
121	4	55.39	纪
122	4	55.61	信
123	4	55.78	薪
124	4	55.89	假
125	4	56.00	念
126	4	56.22	轻
127	4	56.39	受
128	3	56.56	会
129	3	56.72	可
130	3	56.89	绿
131	3	57.06	刚
132	3	57.22	见
133	3	57.39	算
134	3	57.56	子
135	3	57.72	当
136	3	57.83	张
137	3	58.00	实
138	3	58.17	紧
139	3	58.33	多
140	3	58.50	晚
141	3	58.67	大
142	3	58.83	怎
143	3	58.94	转
144	3	59.11	话
145	3	59.28	带
146	3	59.44	时候
147	3	59.56	喜
148	3	59.67	卖
149	3	59.78	找
150	3	59.89	寄
151	3	60.06	从
152	3	60.22	且
153	3	60.39	果
154	3	60.56	已
155	3	60.72	来
156	3	60.78	办
157	3	60.94	室
158	3	61.11	能
159	3	61.28	打
160	3	61.44	去
161	3	61.56	我
162	3	61.72	住
163	3	61.89	公
164	3	62.06	工
165	3	62.17	次
166	3	62.33	少
167	3	62.50	赛
168	3	62.67	充
169	3	62.78	情
170	3	62.94	想
171	3	63.11	度
172	3	63.22	付
173	3	63.39	碌
174	3	63.50	绝
175	3	63.61	之
176	3	63.78	查
177	3	63.94	速
178	3	64.11	此
179	3	64.28	种
180	3	64.44	限
181	3	64.50	经
182	3	64.67	衰
183	3	64.78	院
184	2	64.89	辛
185	2	65.00	祝
186	2	65.11	功课
187	2	65.22	许
188	2	65.33	电
189	2	65.44	片
190	2	65.56	总
191	2	65.67	搭
192	2	65.72	派
193	2	65.83	国
194	2	65.94	要
195	2	66.06	忙
196	2	66.17	样
197	2	66.28	美美
198	2	66.39	小
199	2	66.50	乐
200	2	66.61	饿
201	2	66.67	车
202	2	66.78	天
203	2	66.89	坏
204	2	67.00	漂亮
205	2	67.00	听
206	2	67.11	也
207	2	67.22	忽
208	2	67.33	把
209	2	67.44	停
210	2	67.56	拍
211	2	67.67	愿
212	2	67.78	陪
213	2	67.89	始
214	2	68.00	喝
215	2	68.11	树
216	2	68.17	接
217	2	68.22	完
218	2	68.33	啤酒
219	2	68.44	秋
220	2	68.56	间
221	2	68.67	致
222	2	68.78	气
223	2	68.83	说
224	2	68.89	好吗
225	2	69.00	糊
226	2	69.06	系
227	2	69.11	路
228	2	69.22	叫
229	2	69.33	迷
230	2	69.44	码
231	2	69.56	健
232	2	69.67	等
233	2	69.78	考试
234	2	69.83	狗
235	2	69.94	西
236	2	70.00	湾
237	2	70.00	认
238	2	70.06	理
239	2	70.17	七
240	2	70.28	识
241	2	70.39	试
242	2	70.50	考
243	2	70.61	事情
244	2	70.72	后
245	2	70.83	衣
246	2	70.89	厉
247	2	71.00	何
248	2	71.11	痛
249	2	71.22	塞
250	2	71.33	及
251	2	71.44	没
252	2	71.50	暑假
253	2	71.61	意
254	2	71.72	雨
255	2	71.83	定
256	2	71.94	感
257	2	72.00	邀
258	2	72.11	婚礼
259	2	72.22	穿
260	2	72.33	突
261	2	72.44	妳
262	2	72.50	所以
263	2	72.61	上
264	2	72.72	棒
265	2	72.83	盘
266	2	72.89	运
267	2	73.00	啤
268	2	73.11	近
269	2	73.22	食
270	2	73.33	敬
271	2	73.44	才
272	2	73.56	机
273	2	73.56	已经
274	2	73.67	又
275	2	73.78	订
276	2	73.83	依林
277	2	73.89	和实际
278	2	74.00	修
279	2	74.11	懂
280	2	74.22	让
281	2	74.33	追
282	2	74.44	虑
283	2	74.56	向
284	2	74.67	屈
285	2	74.78	断
286	2	74.89	抱
287	2	75.00	莲
288	2	75.11	发
289	2	75.22	增
290	2	75.33	济
291	2	75.39	境
292	2	75.44	球
293	2	75.44	酱
294	2	75.56	顺
295	2	75.67	拥
296	2	75.78	逼
297	2	75.89	牠
298	2	76.00	掉
299	2	76.11	概
300	2	76.22	快
301	2	76.33	到底
302	2	76.44	除
303	2	76.56	则
304	2	76.67	倒
305	2	76.78	尤
306	2	76.89	扰
307	2	76.94	顿
308	2	77.06	嘛
309	2	77.17	由
310	2	77.28	与
311	2	77.33	影响
312	1	77.39	健康
313	1	77.44	歉啊
314	1	77.50	希望
315	1	77.56	分手
316	1	77.61	旁
317	1	77.67	聪
318	1	77.72	议
319	1	77.78	趣
320	1	77.83	科
321	1	77.89	美
322	1	77.94	送
323	1	78.00	心情
324	1	78.00	庆
325	1	78.06	庆祝
326	1	78.11	镜
327	1	78.17	半
328	1	78.22	舒
329	1	78.28	聊
330	1	78.33	睡觉
331	1	78.39	秘秘
332	1	78.44	骂
333	1	78.50	公式
334	1	78.56	和常复习
335	1	78.61	睡
336	1	78.67	嗨
337	1	78.72	笨笨
338	1	78.78	叫大
339	1	78.83	咖
340	1	78.89	你回
341	1	78.94	亮
342	1	79.00	店
343	1	79.06	请买
344	1	79.11	司
345	1	79.17	红
346	1	79.17	阳饼
347	1	79.22	统
348	1	79.28	苹
349	1	79.33	朋友
350	1	79.39	舍
351	1	79.44	慢
352	1	79.50	姓
353	1	79.56	先
354	1	79.61	原来
355	1	79.67	腕
356	1	79.72	载
357	1	79.78	热
358	1	79.83	找我
359	1	79.89	北总站
360	1	79.94	蛋糕
361	1	80.00	欢
362	1	80.06	刮
363	1	80.11	南
364	1	80.17	湿
365	1	80.22	晒
366	1	80.28	便
367	1	80.33	当然
368	1	80.39	改
369	1	80.39	饭
370	1	80.44	坐公
371	1	80.50	太太
372	1	80.56	吃饭
373	1	80.61	恭
374	1	80.67	厅
375	1	80.72	留
376	1	80.78	勇
377	1	80.83	古亭
378	1	80.83	椅
379	1	80.89	等他
380	1	80.94	喔
381	1	81.00	摩
382	1	81.06	忘
383	1	81.11	最
384	1	81.17	说太
385	1	81.22	惊
386	1	81.28	朋
387	1	81.33	瘦
388	1	81.39	喜欢
389	1	81.39	照
390	1	81.44	鞋
391	1	81.50	山
392	1	81.56	给
393	1	81.61	请留
394	1	81.67	书
395	1	81.72	博
396	1	81.78	楼
397	1	81.83	讨
398	1	81.89	地理
399	1	81.94	没办
400	1	82.00	意思
401	1	82.06	疼
402	1	82.11	写
403	1	82.17	老师
404	1	82.22	体
405	1	82.28	礼拜
406	1	82.33	峇里
407	1	82.39	照相
408	1	82.44	兰
409	1	82.50	班牙
410	1	82.56	重要
411	1	82.61	运动
412	1	82.67	习惯
413	1	82.72	住在
414	1	82.78	试试
415	1	82.83	波
416	1	82.89	奖
417	1	82.94	介绍
418	1	83.00	化
419	1	83.06	解
420	1	83.11	抄
421	1	83.17	缘
422	1	83.22	借
423	1	83.28	妈妈
424	1	83.28	卫
425	1	83.33	羞
426	1	83.39	跳
427	1	83.44	思
428	1	83.50	有一
429	1	83.56	站就
430	1	83.61	头
431	1	83.67	成绩
432	1	83.72	呼
433	1	83.78	睡了不去
434	1	83.83	校
435	1	83.89	很紧
436	1	83.94	很漂
437	1	84.00	两
438	1	84.06	迟到
439	1	84.11	恐
440	1	84.11	怕
441	1	84.17	搭公
442	1	84.22	钟
443	1	84.28	比
444	1	84.33	坐的
445	1	84.39	被
446	1	84.44	睛
447	1	84.50	太过
448	1	84.56	辣
449	1	84.61	时间
450	1	84.67	坐那
451	1	84.72	闹
452	1	84.72	表
453	1	84.78	糟糕
454	1	84.83	迟
455	1	84.89	骑脚
456	1	84.94	必须
457	1	85.00	无聊
458	1	85.06	祝你
459	1	85.11	耶
460	1	85.17	病快
461	1	85.22	封
462	1	85.28	北
463	1	85.33	整
464	1	85.33	病
465	1	85.39	家
466	1	85.44	望
467	1	85.50	郎
468	1	85.56	替
469	1	85.56	婚
470	1	85.61	参
471	1	85.67	秘
472	1	85.72	招
473	1	85.78	谈
474	1	85.83	继续
475	1	85.89	终究
476	1	85.94	淋
477	1	86.00	坐公公
478	1	86.06	论一
479	1	86.11	干
480	1	86.17	地进
481	1	86.22	丽
482	1	86.28	息
483	1	86.33	方便
484	1	86.39	湿湿
485	1	86.44	休息
486	1	86.50	吃
487	1	86.56	得很
488	1	86.61	什么
489	1	86.67	雨伞
490	1	86.72	师教
491	1	86.78	卷
492	1	86.83	规
493	1	86.83	华
494	1	86.89	唱
495	1	86.94	挚
496	1	87.00	抱歉
497	1	87.06	希
498	1	87.11	到的
499	1	87.17	户
500	1	87.22	出
501	1	87.28	旅行
502	1	87.33	松
503	1	87.39	爷爷
504	1	87.44	你有
505	1	87.50	坡
506	1	87.56	加坡
507	1	87.61	虑一
508	1	87.67	奇
509	1	87.72	他请
510	1	87.78	四
511	1	87.83	错
512	1	87.89	瓶
513	1	87.94	判
514	1	88.00	学
515	1	88.06	渴
516	1	88.11	挡
517	1	88.17	好像
518	1	88.22	客
519	1	88.28	愤怒
520	1	88.33	骗
521	1	88.39	或
522	1	88.44	般
523	1	88.50	交
524	1	88.56	懒
525	1	88.61	却
526	1	88.67	踏
527	1	88.72	那个
528	1	88.78	对
529	1	88.83	家搬
530	1	88.89	考虑
531	1	88.94	题
532	1	89.00	自
533	1	89.06	代
534	1	89.06	语文程度
535	1	89.11	为
536	1	89.17	一种
537	1	89.22	华语
538	1	89.28	形
539	1	89.33	把握
540	1	89.39	咨
541	1	89.44	满
542	1	89.50	怪
543	1	89.56	作
544	1	89.61	并
545	1	89.67	谅
546	1	89.72	谱
547	1	89.78	消耗
548	1	89.83	地看
549	1	89.89	挫
550	1	89.94	反
551	1	90.00	荐
552	1	90.06	够
553	1	90.11	普遍
554	1	90.17	判断
555	1	90.22	各
556	1	90.28	猛
557	1	90.33	落
558	1	90.39	缉
559	1	90.44	确
560	1	90.50	在的
561	1	90.56	件事
562	1	90.61	简直
563	1	90.67	想得
564	1	90.72	位
565	1	90.78	怪怪
566	1	90.83	诬
567	1	90.89	冒冒
568	1	90.94	控制自己
569	1	91.00	故
570	1	91.06	陌
571	1	91.11	似
572	1	91.17	证
573	1	91.22	白
574	1	91.28	简
575	1	91.33	某
576	1	91.39	沟
577	1	91.39	融
578	1	91.44	断地
579	1	91.44	塑
580	1	91.50	袋
581	1	91.56	资讯
582	1	91.61	花莲
583	1	91.67	植
584	1	91.72	癌
585	1	91.72	但是
586	1	91.78	触脏
587	1	91.83	彩
588	1	91.89	法
589	1	91.94	失
590	1	92.00	胜于
591	1	92.00	重视
592	1	92.06	环境破坏
593	1	92.06	掌
594	1	92.11	兼
595	1	92.11	亡
596	1	92.11	覆
597	1	92.11	拯
598	1	92.17	贝
599	1	92.22	破
600	1	92.28	源
